Tuần 1	Chọn đề tài	"Phân tích yêu cầu"
	Lập kế hoạch thực hiện	"Thiết kế Database schema
		Thiết kế giao diện bằng Figma"
	Setup môi trường phát triển	"Cài đặt Node.js, VS Code
Tạo GitHub repository
Thiết kế cấu trúc thư mục "
Tuần 2	Thiết kế UI/UX	Mockup giao diện Login, giao diện Quiz interface, trang Settings
	Thiết kế Database	"Thiết kế cấu trúc dtb cho user data
Tạo schema cho quiz (JSON)
Mô hình hóa dữ liệu settings"
Tuần 3	Tạo mẫu HTML cho toàn dự án	"Tạo layout cơ bản
Thiết kế framework cho CSS
Design html có responsive"
	Thiết kế bước đầu cho Backend	"Setup server bằng Express.js
Thiết kế API routes cơ bản
Setup middleware"
Tuần 4	Code Frontend cho Login	"Form đăng nhập
Validation cho client-side
Session handling"
	Code Backend cho Authentication	"Login API
Session management
User data storage"
Tuần 5	Thiết kế UI cho Settings	"Toggle switches (music, sound, timer)
Avatar selection
Auto save settings (lưu trữ cài đặt của user)"
	Thiết kế Backend cho Settings	"API endpoints
Tích hợp localStorage
Cài đặt mặc định cho settings"
Tuần 6	Thiết kế UI cho tạo Quiz	"Thiết kế Form tạo câu hỏi
Selection cho các loại câu hỏi
Validation cho input"
	Thiết kế Storage cho Quiz	"Cấu trúc file JSON 
Xử lí thao tác CRUD
Phân loại quiz (categories)"
Tuần 7	Quiz Interface	"Hiển thị cho quiz
Options cho Answer
Thanh tiến độ làm bài"
	Quiz Logic	"Random các câu hỏi
Kiểm tra Answer
Tính điểm"
Tuần 8	Quiz Timer, Sound	"Đếm thời gian cho quiz
Sound Effects
Background music"
	Quiz Session	"Quản lí session làm bài
Lưu trữ kết quả
Theo dõi Stats"
Tuần 9	Tích hợp Frontend - Backend	"Tích hợp Api
Error handling
Trạng thái Loading "
Tuần 10	Testing	Unit testing
		Integration testing
Tuần 11	Fix Bug	Fix Bug
		
Tuần 12	Hoàn thiện UI	"Cải thiện nâng cấp CSS
Nâng cấp UX
Responsive cho mobile"
	Viết Docs	"Code documentation
User manual
Deploy guide"
Tuần 13	Final Testing	"Cross-browser testing
Tối ưu hiệu suất
Kiểm tra bảo mật"
	Deployment	Deploy Server
Tuần 14	Viết báo cáo Đồ án theo mẫu	
	Làm slide thuyết trình	
	Chuẩn bị Demo	
Tuần 15	Báo cáo cuối kỳ theo lịch thông báo của GVHD	
